|id |coordinateY|coordinateZ|pointGroup|pointType|thickness|checker  |
|---|-----------|-----------|----------|---------|---------|---------|
|0  |0          |0          |1         |0        |22.0     |-99999.0 |
|1  |1.0        |0          |1         |1        |22.0     |-99999.0 |
|2  |1.0        |0          |1         |0        |22.0     |-99999.0 |
|3  |2.0        |0          |1         |1        |22.0     |-99999.0 |
|4  |2.0        |0          |1         |0        |22.0     |-99999.0 |
|5  |3.0        |0          |1         |1        |22.0     |-99999.0 |
|6  |3.0        |0          |1         |0        |22.0     |-99999.0 |
|7  |4.0        |0          |1         |1        |22.0     |-99999.0 |
|8  |4.0        |0          |1         |0        |22.0     |-99999.0 |
|9  |5.0        |0          |1         |1        |22.0     |-99999.0 |
|10 |5.0        |0          |1         |0        |22.0     |-99999.0 |
|11 |16.0       |0          |1         |1        |22.0     |-99999.0 |
|12 |0          |0          |1         |0        |22.0     |-99999.0 |
|13 |-1.0       |0          |1         |1        |22.0     |-99999.0 |
|14 |-1.0       |0          |1         |0        |22.0     |-99999.0 |
|15 |-2.0       |0          |1         |1        |22.0     |-99999.0 |
|16 |-2.0       |0          |1         |0        |22.0     |-99999.0 |
|17 |-3.0       |0          |1         |1        |22.0     |-99999.0 |
|18 |-3.0       |0          |1         |0        |22.0     |-99999.0 |
|19 |-4.0       |0          |1         |1        |22.0     |-99999.0 |
|20 |-4.0       |0          |1         |0        |22.0     |-99999.0 |
|21 |-5.0       |0          |1         |1        |22.0     |-99999.0 |
|22 |-5.0       |0          |1         |0        |22.0     |-99999.0 |
|23 |-16.0      |0          |1         |1        |22.0     |-99999.0 |
|24 |16.0       |0          |1         |0        |22.0     |9.0      |
|25 |16.0       |24.0       |1         |1        |22.0     |9.0      |
|26 |-16.0      |0          |1         |0        |22.0     |-99999.0 |
|27 |-16.0      |5.0        |1         |1        |22.0     |-99999.0 |
|28 |-16.0      |5.0        |1         |0        |22.0     |-99999.0 |
|29 |-16.0      |6.0        |1         |1        |22.0     |-99999.0 |
|30 |-16.0      |6.0        |1         |0        |22.0     |-99999.0 |
|31 |-16.0      |7.0        |1         |1        |22.0     |-99999.0 |
|32 |-16.0      |7.0        |1         |0        |22.0     |-99999.0 |
|33 |-16.0      |8.0        |1         |1        |22.0     |-99999.0 |
|34 |-16.0      |8.0        |1         |0        |22.0     |-99999.0 |
|35 |-16.0      |24.0       |1         |1        |22.0     |-99999.0 |
|36 |0          |25.0       |2         |0        |22.0     |11.0     |
|37 |16.0       |24.0       |2         |1        |22.0     |11.0     |
|38 |0          |25.0       |2         |0        |22.0     |12.0     |
|39 |-16.0      |24.0       |2         |1        |22.0     |12.0     |
|40 |-15.925    |5.0        |1         |0        |6.0      |-57177.0 |
|41 |-16.0      |5.0        |1         |1        |6.0      |-57177.0 |
|42 |-15.925    |6.0        |1         |0        |6.0      |-57177.0 |
|43 |-16.0      |6.0        |1         |1        |6.0      |-57177.0 |
|44 |-15.925    |7.0        |1         |0        |6.0      |-57177.0 |
|45 |-16.0      |7.0        |1         |1        |6.0      |-57177.0 |
|46 |-15.925    |8.0        |1         |0        |6.0      |-57177.0 |
|47 |-16.0      |8.0        |1         |1        |6.0      |-57177.0 |
|48 |0          |0.05       |1         |0        |5.0      |-57177.0 |
|49 |0          |0          |1         |1        |5.0      |-57177.0 |
|50 |1.0        |0.05       |1         |0        |5.0      |-57177.0 |
|51 |1.0        |0          |1         |1        |5.0      |-57177.0 |
|52 |-1.0       |0.05       |1         |0        |5.0      |-57177.0 |
|53 |-1.0       |0          |1         |1        |5.0      |-57177.0 |
|54 |2.0        |0.05       |1         |0        |5.0      |-57177.0 |
|55 |2.0        |0          |1         |1        |5.0      |-57177.0 |
|56 |-2.0       |0.05       |1         |0        |5.0      |-57177.0 |
|57 |-2.0       |0          |1         |1        |5.0      |-57177.0 |
|58 |3.0        |0.05       |1         |0        |5.0      |-57177.0 |
|59 |3.0        |0          |1         |1        |5.0      |-57177.0 |
|60 |-3.0       |0.05       |1         |0        |5.0      |-57177.0 |
|61 |-3.0       |0          |1         |1        |5.0      |-57177.0 |
|62 |4.0        |0.05       |1         |0        |5.0      |-57177.0 |
|63 |4.0        |0          |1         |1        |5.0      |-57177.0 |
|64 |-4.0       |0.05       |1         |0        |5.0      |-57177.0 |
|65 |-4.0       |0          |1         |1        |5.0      |-57177.0 |
|66 |5.0        |0.05       |1         |0        |5.0      |-57177.0 |
|67 |5.0        |0          |1         |1        |5.0      |-57177.0 |
|68 |-5.0       |0.05       |1         |0        |5.0      |-57177.0 |
|69 |-5.0       |0          |1         |1        |5.0      |-57177.0 |
